,X[[i]]
1975,20688
1976,39711
1977,44459
1978,42768
1979,39456
1980,41633
1981,20688
1982,32637
1983,32447
1984,39711
1985,34626
1986,30494
1987,20688
1988,32637
1989,32447
1990,25670
1991,39711
1992,34626
1993,32448
1994,20688
1995,25670
1996,39711
1997,34626
1998,30494
1999,7858
2000,16088
2001,32448
2002,20688
2003,32637
2004,25670
2005,7858
2006,16088
2007,32448
2008,20688
2009,32637
2010,34626
2011,20688
2012,39711
2013,34626
2014,30494
2015,44459
2016,35003
2017,7858
2018,16088
2019,20688
2020,32637
2021,25670
2022,39711
2023,20688
2024,32447
2025,25670
2026,39711
2027,34626
2028,18508
2029,20688
2030,39711
2031,44459
2032,35003
2033,42768
2034,49950
2035,7858
2036,16088
2037,32447
2038,25670
2039,39711
2040,27407
2041,20688
2042,39711
2043,34626
2044,30494
2045,44459
2046,35003
2047,7858
2048,16088
2049,32448
2050,20688
2051,32637
2052,32447
2053,7858
2054,20688
2055,32637
2056,25670
2057,39711
2058,27407
2059,16088
2060,20688
2061,32637
2062,32447
2063,39711
2064,18508
2065,20688
2066,35003
2067,39456
2068,34753
2069,25910
2070,26856
2071,20688
2072,32447
2073,25670
2074,34626
2075,18508
2076,30494
2077,20688
2078,32447
2079,39711
2080,34626
2081,30494
2082,44459
2083,20688
2084,34626
2085,44459
2086,35003
2087,42768
2088,41633
2089,20688
2090,32637
2091,30494
2092,44459
2093,39456
2094,49950
2095,20688
2096,32447
2097,39711
2098,30494
2099,35003
2100,42768
2101,16088
2102,25670
2103,39711
2104,27407
2105,34626
2106,18508
2107,32448
2108,20688
2109,32637
2110,32447
2111,25670
2112,39711
2113,32447
2114,25670
2115,39711
2116,18508
2117,30494
2118,44459
2119,20688
2120,32637
2121,32447
2122,25670
2123,39711
2124,27407
2125,20688
2126,27407
2127,35003
2128,24329
2129,34753
2130,34914
2131,20688
2132,32637
2133,32447
2134,39711
2135,27407
2136,34626
2137,16088
2138,20688
2139,44459
2140,35003
2141,42768
2142,39456
2143,7858
2144,32448
2145,20688
2146,25670
2147,39711
2148,27407
2149,7858
2150,32637
2151,25670
2152,18508
2153,30494
2154,30055
2155,16088
2156,32448
2157,20688
2158,32637
2159,32447
2160,39711
2161,20688
2162,24329
2163,34753
2164,26856
2165,34914
2166,26055
2167,20688
2168,32637
2169,32447
2170,39711
2171,34626
2172,30494
2173,16088
2174,20688
2175,39711
2176,18508
2177,30494
2178,44459
2179,16088
2180,20688
2181,32637
2182,32447
2183,25670
2184,34626
2185,7858
2186,16088
2187,32448
2188,20688
2189,32637
2190,25670
2191,7858
2192,20688
2193,32637
2194,25670
2195,34626
2196,18508
2197,32447
2198,25670
2199,39711
2200,34626
2201,30494
2202,44459
2203,20688
2204,32637
2205,32447
2206,25670
2207,39711
2208,34626
2209,35003
2210,24329
2211,34753
2212,43044
2213,34914
2214,28842
2215,7858
2216,16088
2217,20688
2218,44459
2219,35003
2220,39456
2221,39711
2222,30494
2223,44459
2224,35003
2225,49950
2226,41633
2227,39711
2228,30494
2229,44459
2230,42768
2231,39456
2232,49950
2233,7858
2234,20688
2235,25670
2236,27407
2237,34626
2238,30494
2239,20688
2240,32637
2241,32447
2242,27407
2243,18508
2244,30494
2245,7858
2246,16088
2247,20688
2248,32637
2249,32447
2250,39711
2251,39711
2252,34626
2253,18508
2254,30494
2255,44459
2256,35003
2257,7858
2258,20688
2259,32637
2260,32447
2261,25670
2262,39711
2263,32448
2264,32637
2265,32447
2266,39711
2267,34626
2268,44459
2269,32448
2270,32637
2271,25670
2272,39711
2273,27407
2274,18508
2275,32448
2276,32637
2277,32447
2278,39711
2279,34626
2280,18508
2281,7858
2282,20688
2283,32447
2284,27407
2285,34626
2286,44459
2287,7858
2288,16088
2289,32448
2290,20688
2291,32637
2292,32447
2293,7858
2294,16088
2295,32448
2296,20688
2297,25670
2298,39711
2299,32448
2300,20688
2301,32447
2302,25670
2303,39711
2304,34626
2305,20688
2306,32637
2307,18508
2308,30494
2309,35003
2310,42768
2311,7858
2312,16088
2313,20688
2314,27407
2315,34626
2316,18508
2317,32448
2318,20688
2319,32637
2320,32447
2321,25670
2322,39711
2323,20688
2324,27407
2325,30494
2326,35003
2327,42768
2328,30055
2329,25670
2330,30494
2331,34753
2332,34914
2333,17306
2334,38747
2335,20688
2336,32447
2337,39711
2338,30494
2339,44459
2340,35003
2341,20688
2342,32637
2343,32447
2344,25670
2345,39711
2346,27407
2347,7858
2348,16088
2349,32448
2350,20688
2351,25670
2352,39711
2353,20688
2354,32447
2355,39711
2356,35003
2357,42768
2358,38015
2359,32448
2360,20688
2361,32637
2362,32447
2363,39711
2364,34626
2365,7858
2366,20688
2367,39711
2368,34626
2369,35003
2370,42768
2371,20688
2372,39711
2373,27407
2374,30494
2375,44459
2376,35003
2377,7858
2378,16088
2379,32448
2380,32637
2381,32447
2382,25670
2383,7858
2384,16088
2385,32448
2386,20688
2387,32637
2388,25670
2389,20688
2390,30494
2391,35003
2392,42768
2393,49950
2394,38015
2395,20688
2396,35003
2397,34753
2398,34914
2399,38747
2400,38652
2401,20688
2402,35003
2403,26856
2404,34914
2405,38747
2406,38652
2407,7858
2408,16088
2409,32448
2410,32637
2411,32447
2412,25670
2413,20688
2414,32447
2415,25670
2416,39711
2417,34626
2418,30494
2419,16088
2420,20688
2421,32447
2422,30494
2423,49950
2424,41633
2425,16088
2426,32448
2427,18508
2428,30494
2429,35003
2430,42768
2431,20688
2432,32447
2433,44459
2434,35003
2435,42768
2436,41633
2437,20688
2438,32447
2439,39711
2440,30494
2441,44459
2442,35003
2443,20688
2444,39711
2445,30494
2446,44459
2447,35003
2448,49950
2449,16088
2450,32637
2451,25670
2452,39711
2453,27407
2454,18508
2455,32637
2456,39711
2457,34626
2458,30494
2459,44459
2460,35003
2461,7858
2462,16088
2463,20688
2464,32637
2465,25670
2466,39711
2467,20688
2468,32637
2469,25670
2470,39711
2471,34626
2472,30494
2473,32448
2474,20688
2475,32637
2476,32447
2477,39711
2478,27407
2479,27407
2480,30494
2481,35003
2482,24329
2483,25910
2484,11579
2485,7858
2486,32448
2487,20688
2488,32637
2489,32447
2490,25670
2491,16088
2492,25670
2493,27407
