;dorama_id;dorama_title;overall_rating;watching;seasons;year;genres;Type;doramatv
242;32208;Infinite Challenge;4,56;192;4;2005;{1};0;http://doramatv.ru/infinity_challenge
243;42125;NO.MERCY ;4,26;190;1;2014;{11,96};0;http://doramatv.ru/mnet_no_mercy
244;2793;My Lovely Sam Soon;4,04;194;1;2005;{6,7,1};1;http://doramatv.ru/my_name_is_kim_sum_soon
245;32475;SHINee One Fine Day;4,66;186;1;2013;{37,50};0;http://doramatv.ru/shinee_s_one_fine_day
246;41634;Persevere, Goo Hae Ra;3,77;183;1;2015;{32,7};1;http://doramatv.ru/persevere__goo_hae_ra
247;34033;Medical Top Team;4,06;195;1;2013;{35,7};1;http://doramatv.ru/medical_top_team
248;48474;Choco Bank;3,97;185;1;2016;{6,7,1};1;http://doramatv.ru/choco_bank
249;48579;Marriage Contract;4,18;181;1;2016;{7,6};1;http://doramatv.ru/marriage_contract
250;32418;Warrior Baek Dong Soo;4,16;179;1;2011;{6,4};1;http://doramatv.ru/warrior_baek_dong_soo
251;35443;K-pop Star;4,16;179;4;2011;\N;0;http://doramatv.ru/k_pop_star
252;38570;5 Minute Before Chaos;4,58;186;1;2014;{37,1,38,32};0;http://doramatv.ru/block_b___5_minutes_before_chaos
253;45328;INFINITE Showtime;4,71;178;1;2015;\N;0;http://doramatv.ru/showtime_infinite
254;48185;MONSTA X's Right Now;4,73;186;1;2016;\N;0;http://doramatv.ru/monsta_x_s_right_now
255;48782;Nightmare Teacher;4,18;192;1;2016;{6,25};1;http://doramatv.ru/nightmare_teacher
256;37155;Showtime: Burning the Beast;4,55;178;1;2014;{34,48,32,1,37};0;http://doramatv.ru/showtime___burning_the_beast
257;32345;You're the Best, Lee Soon Shin;3,7;175;1;2013;{10,1};1;http://doramatv.ru/lee_soon_shin_is_the_best
258;48352;High-end Crush;3,98;175;1;2015;{6,7};1;http://doramatv.ru/high_end_crush
259;42965;A Divorce Lawyer in Love;3,57;174;1;2015;{7,6,1};1;http://doramatv.ru/divorce_lawyer_in_love
260;33519;Bridal Mask;4,1;179;1;2012;{4,45,6};1;http://doramatv.ru/bridal_mask
261;39538;90:2014;4,03;173;1;2014;{37,32};0;http://doramatv.ru/k_pop_time_slip__exo_90_2014
